Hybridization REF	TCGA-AX-A060-01A-11R-A00V-07
ROR2	1.31985714285714
MAOA	1.197125
TNNT3	0.474
GYPC	-2.6655
C7orf33	-0.144
PLIN	0.3028
LOC90826	0.35225
RNF4	-0.4681
F8A1	-0.302833333333333
PLEKHG4	-1.6115
GRB2	-0.38245
HIST1H2AD	1.66875
DUS3L	-1.30466666666667
EIF1	-0.765333333333333
RP5-1077B9.4	-1.4215
FPGT	1.336
GDF10	-0.8594
COQ9	0.77275
GCC2	0.792571428571429
RARRES3	0.1555
PLXNA1	-1.0063
KIAA0100	-0.4931
PMF1	0.994
FNDC1	1.9345
HS2ST1	0.439333333333333
CRELD2	1.64925
C8G	-2.6615
CD82	1.85425
LIM2	0.265
UNQ6490	-0.475
MMP16	-0.793
DRD3	1.57975
C5orf26	0.554
C11orf73	-0.942142857142857
PTP4A2	0.260125
OR4M2	-0.5755
HPCA	-2.121
SEC14L1	0.671833333333333
CHFR	0.136625
EMILIN1	-0.766875
NDUFS4	-0.624
COL18A1	-1.480125
PDZD3	-0.265444444444444
C9orf16	0.804833333333333
ERBB2IP	1.14083333333333
EMX2	6.68475
FUS	-0.9925
TF	-5.64555555555556
CLCN4	1.44183333333333
CXorf56	-0.2295
C11orf72	0.13475
ELAC2	-0.402583333333333
NPR1	-1.425
ASS1	-1.36316666666667
USP42	-0.02625
POLR2J	-1.8055
SEC23IP	1.165
UQCRC1	0.251
LOC729603	-0.444333333333333
C1orf71	0.239125
POLG	-1.789
ADAM23	-4.433
TFR2	-0.48625
RICTOR	-0.6036
MGC39606	0.27175
C19orf55	0.184625
SNAPC1	-0.322166666666667
GNA11	0.80275
CCDC52	-0.1525
FSIP1	-0.2655
UPF3A	-1.030125
IGSF11	0.0231666666666666
LAGE3	0.1
CHST6	2.372
UNC13B	0.581625
TTLL4	-0.980125
ZNF687	0.803375
SDC2	-1.6928
COX7A2	0.85175
LAMB4	-0.785
FAM24A	-0.267
LRRTM3	0.134
GPHB5	0.111
OR4C13	0.714
EIF3EIP	0.605285714285714
HABP4	-1.204
TMEM125	4.55925
CNTN2	-0.261375
ASNSD1	0.06875
FUT4	0.177428571428571
ACF	-2.3105
LOC158381	-0.7065
CDH8	-0.549333333333333
AGPS	0.597666666666667
C4orf18	1.672875
PECI	1.32175
UNG	0.03575
GSTP1	-0.081
DCUN1D5	-0.4855
DKFZP564J0863	-0.567
SLC9A3R1	-0.39625
BCDO2	-0.08675
CHMP7	0.09475
REM2	-0.1375
DNHD1	-0.7038
FKBP4	-1.255
ZNF350	1.44825
MGC11102	0.339
BST1	1.1775
KISS1R	1.226
NCR2	1.32
DEFB125	-1.554
UBE2W	1.18825
KRT15	-2.757
C10orf99	2.891
SCN11A	0.324142857142857
GFI1	-2.1245
RDHE2	-0.988
FHL1	-2.7248
OSGEP	0.568833333333333
GATA1	-3.675
SMC6	-1.4225
TTTY14	-1.464
LPIN3	-0.107
RPL4	0.0127
RBPMS	-0.9051
PRPF3	0.0756666666666667
EMR1	-3.0075
SPATA19	0.0965
XCR1	0.21
IRX3	-0.0942
RBM6	-1.15775
KLF4	-1.06722222222222
UNC5CL	-0.395
SEBOX	0.898
BTK	-1.926
KRCC1	-0.0065
C6orf27	0.424
SYTL5	0.36
PRND	-0.0155714285714286
LOC653319	-2.1455
PIGL	-1.571875
HUS1	0.375666666666667
SFRS6	1.24541666666667
C17orf77	1.422
UIMC1	-0.768833333333333
FXYD2	-2.4669
LOC283152	1.238
ZNF667	0.39725
ZCCHC12	1.4635
TFEC	0.7785
ATP7B	0.69
POLD2	-0.560833333333333
RG9MTD1	-0.18725
ACOT2	0.0375
HIST1H4I	0.695875
PPARGC1A	-0.971666666666667
ETFA	-0.8028
POLRMT	-0.17125
ZNF146	-0.284875
MIA2	1.7425
KLHL6	-1.5098
HOXB5	2.9595
NENF	0.855833333333333
CUGBP1	0.434
PRSS22	1.51383333333333
CASC4	1.5733
CUL4B	0.5671
CENPJ	-1.9051
PITX1	-2.96
FLJ31033	-0.20225
CELSR3	-2.1815
ZNF568	-0.44
ITSN1	0.0621666666666666
EHBP1L1	-1.81683333333333
C19orf2	-0.41125
DCTN1	-0.30325
LIN28B	-0.8042
TNKS2	-0.11625
C1QBP	-0.42625
CADPS2	1.8905
SRMS	0.245333333333333
GJA9	0.571
MGC24975	-0.820166666666667
TRIM45	-0.838166666666667
TSP50	0.49475
TCP1	-1.3865
TMED7	1.169
CMA1	-0.686
CENPL	0.209
PTCRA	-0.0645
FST	-6.87225
VWCE	-4.29425
PAWR	0.082
ABCC12	-0.174166666666667
LDLR	-0.4405
ASTN2	1.0003
LOC441212	-0.145625
GPATCH8	0.066
TANC2	-1.10725
KIF4A	-1.3095
C18orf18	-2.495
PGM1	-0.508
KIAA0258	-0.122
CPD	3.197
SNCAIP	-0.88875
DCT	-3.3328
HLA-DOA	0.78305
OR11L1	0.3365
UPK1B	0.0912
DNAJB4	-0.99125
UGT1A8	-0.365
HIST1H4L	0.759
PECR	-0.6045
HSPA2	1.3185
WFIKKN1	-1.4555
SERP1	1.8565
SYDE2	0.3455
TACR2	-0.1
NUP85	-0.92625
CD177	-0.4984
LGR5	2.62216666666667
PIGG	0.0705
PTHR1	-2.4765
RAB5A	0.1887
FLJ13224	-0.2035
USP9Y	-0.000250000000000014
C7orf53	-2.092
LRP1B	0.85775
XAF1	-1.67922222222222
ABCG8	0.0305
ANKDD1A	0.1255
DAND5	-0.8405
SPAG6	0.3234
LINCR	-0.3035
ZDHHC22	-0.97275
CCDC60	1.7025
THOC7	-1.39816666666667
TCTA	1.6477
OR8K3	0.43425
NY-REN-7	-0.363
B2M	0.660833333333333
C6orf141	-1.661875
LPPR4	0.7445
SQLE	-1.1845
SEPHS1	-0.2945
BTBD14B	0.379428571428572
PLRG1	-0.17375
SPG7	-1.5549375
ZNF614	0.0855
PARD6G	0.615333333333333
INPP5B	-0.643888888888889
GRPEL2	-0.0245
PPID	-0.8356
TRIM56	-0.97
UBE2J1	0.46425
IL20RA	4.06775
LOC387856	0.37875
C1orf107	0.674166666666667
UTS2R	1.59675
C19orf22	-0.22625
SAFB2	0.304375
KIAA0652	0.01175
KLRG1	-0.882
MS4A8B	4.5734
FRAG1	0.34975
KIAA1546	0.0185
E2F4	-1.3485
CLEC4M	0.535333333333333
BTBD14A	-0.71225
KIAA0999	-0.0258
GYPA	-1.4702
TAC1	0.844
TRAIP	-1.19416666666667
KIAA0232	0.5843
ERCC8	-0.731125
GPX4	0.0015
KIAA0368	-0.35375
GPR157	0.579333333333333
CTAGE4	0.5005
C9orf30	-0.764333333333333
OR52A1	-0.0005
HSP90B3P	0.647
ALG9	-0.0737777777777778
BTBD10	0.89475
SDK2	-0.691
BAIAP3	-0.0685
RABGGTB	-1.6245
ANKRD40	-0.0855
KRT74	0.9695
CALCOCO2	-0.432
SNCA	-4.45575
TMSL8	-0.757
C2orf53	0.8405
ESRRB	-0.27425
ARHGAP26	2.131
TDRD9	-2.68825
HRAS	0.400166666666667
KLRC4	-1.5595
JAGN1	-0.023
BSDC1	0.182
RNF43	-0.8229
NDUFAF1	0.418
PHF12	0.4225
OR1L3	-0.12875
FOLR2	0.7161
LYZL6	0.264666666666667
tcag7.1260	-1.694
WSB1	-0.972
PROS1	-2.1394
OSTN	0.063
PSMB8	0.657
SOCS4	-0.12875
DDIT4L	4.30975
MAS1	0.433
MGC34796	1.3415
CSHL1	-0.2326
TBCCD1	0.933333333333333
ZBTB7C	-0.238
AP2S1	-0.353875
P15RS	0.5709
VAT1	-2.3454
SHANK3	0.170333333333333
TUFM	-0.0511666666666667
THEG	0.0845
KRT34	-0.5725
SGSM3	0.998875
TOMM22	0.386571428571429
SOCS3	0.512
CPO	0.3405
POP4	0.46
BHLHB3	-1.09075
MALL	2.27525
OR1B1	1.6195
PARK2	0.08475
GPR124	-1.53
LCE1E	-0.1315
RUVBL2	-0.18275
CGRRF1	0.8045
ACPL2	-0.9715
WNT10B	-2.37525
BAIAP2L2	1.374
ISCA1	0.6505
C1orf125	0.00637500000000002
RPAP1	-1.65075
RAI16	-0.9008
RPL27	-0.051875
NLRP9	0.0984999999999999
EPN1	-0.24
LOC388610	-3.04871428571429
SLC35A1	0.8608
GAL	-5.24825
SLC14A2	-0.0145
RDH11	0.117333333333333
FAM138F	-0.623
AUH	0.57875
FLJ40243	0.46875
C14orf129	0.542833333333333
MBD2	-0.596333333333333
ABHD14B	0.2715
PIGT	0.10025
ALS2CR4	-0.485625
ALAS1	0.9116
FOXO1	1.92183333333333
CRLF3	-0.5985
C20orf107	2.5105
FARS2	0.7195
CCDC28A	0.91375
NPHP3	-0.902
OR13F1	0.3485
TSEN54	-0.50775
DEFB106B	0.286555555555556
OR8B4	2.2455
STH	-0.25775
ZC3H14	-0.100125
CBX2	-0.498
TMEM49	-1.191
C6orf21	0.475
FLJ20920	-1.537375
CRTAP	-0.151428571428571
DDX50	-0.0085
STYXL1	-1.267
BLVRB	-0.651833333333333
LOC147650	-3.3974
MMP24	0.397
GRID1	0.071
BANF1	-0.855666666666667
CTAGEP	0.7635
HMBS	-2.42225
SLC25A24	0.787666666666667
C14orf50	0.954333333333333
MRO	0.4845
SLC25A15	-0.931
FAM84B	0.6437
TDP1	-0.0035
C16orf78	-0.0578333333333333
C11orf57	0.748375
RFK	0.468375
ZFYVE9	-0.566571428571429
STCH	0.3255
WIBG	1.04725
LOC283871	-0.488166666666667
GBA2	-0.4102
NDUFB3	0.1615
HSD17B13	0.72575
GRIN3A	1.36183333333333
FMNL1	-3.19966666666667
SEPT7	-0.6423
GNLY	-0.89
GRAMD1C	1.84016666666667
ZNF165	1.439
USP38	0.15975
FAM83A	-2.014
C14orf24	0.875333333333333
ARMCX3	1.7295
ARHGDIB	-3.0145
AK1	0.95575
KIAA1045	-0.9505
DNAJB13	0.616666666666667
NEU2	2.5205
HIST1H4B	0.696666666666667
FAM20B	-0.339
HES2	1.02757142857143
FAM73B	-0.6792
LOC388381	0.75825
INTS7	0.100545454545455
AMPH	-0.32475
ZNF775	-0.303875
UCKL1	-1.16016666666667
C10orf97	0.023
C1orf161	1.75266666666667
ALDH1L1	2.0895
FLJ39378	-0.9885
SLC23A1	-0.401
RBM4B	0.44775
THAP4	0.228166666666667
OGFRL1	0.23975
KIAA0831	0.295428571428571
PPP1R15A	-0.347333333333333
C1orf96	1.26835714285714
C12orf11	-1.08275
BMF	1.037625
MAN1A1	-1.99883333333333
KIAA1600	0.3825
NLGN4X	0.16825
ALOX12	-0.276333333333333
RB1CC1	-0.821222222222222
NEIL2	0.7006
EIF4E	0.634909090909091
ABHD5	0.608
EXOC4	0.436
CIP29	0.256
BATF2	1.2665
SLC29A4	-0.447875
HTR4	0.831
EMB	-2.73425
TRAF6	0.46875
LMNB1	-2.1765
FAM19A5	-2.09275
SHE	0.0913333333333333
PIK3C2B	0.89375
C15orf15	-0.2108
USP15	0.1582
TCEAL2	0.012
C5orf39	2.32216666666667
PTGER2	-1.09125
SLC31A1	0.904
IFT172	0.67675
ADAM29	-0.512
GFOD1	-2.68275
ST7L	0.6575
C15orf26	-1.3765
PKN3	-0.94875
CNTD1	2.4155
COMMD1	0.319375
NTRK2	2.70827272727273
FOXN3	-0.289
MFGE8	-1.6565
PFKFB2	3.0815
TAS2R4	1.167
ENTHD1	-0.0352
PRMT5	-0.339625
MGC16384	-1.36175
LOC442229	-0.76475
TSKU	1.539875
KRTCAP3	2.101625
PDLIM1	0.5556
KCNS2	0.26425
RNF126	-0.618166666666667
CEP63	0.375
CLIC4	-0.373375
hCG_1990170	1.69375
ACR	0.123777777777778
KLK7	0.490666666666667
ALOX5AP	1.130375
RIPK3	2.804
TAS2R9	0.0055
C19orf18	-0.1365
BIRC6	-0.542357142857143
ZNF16	1.0895
RFT1	-0.578
SLC8A2	0.0465
TACC1	-1.59214285714286
ITGAD	-0.3385
SAMHD1	0.80725
SH3PXD2B	1.1065
EPC2	1.101
C20orf85	6.478
ATP13A2	0.14
KRT4	-0.16975
CAPNS1	-0.2915
MDM2	0.771583333333333
PCDH20	2.34075
KCNK9	0.322
OR2C1	-0.803
KLHDC3	-0.527666666666667
IPPK	0.204
EFHD2	-0.631875
GALR3	1.41375
NBEA	0.195
ABCA6	-0.533
CLDN3	1.9685
AKT2	-1.38014285714286
EGFR	-1.0811
RBM16	0.291375
ZDHHC3	0.9524
SLC25A4	0.466
CYB5B	-0.0548333333333333
CPXM1	-0.7895
NDRG1	0.209153846153846
FLJ43826	0.19675
OR5L2	-0.4668
FARP2	0.3198
MRPL46	-0.10525
LDHAL6B	0.36275
MAPKAPK3	0.035
NCAM2	-1.022
PRKD2	-0.0131666666666667
ZFP36L1	1.02
CYSLTR1	-1.08125
OR4C3	0.0676666666666667
HIST1H2AJ	0.4225
CCNB2	-2.04133333333333
ZNF10	-0.252285714285714
TMEM175	-0.276
FAM134A	0.999166666666667
TIGD4	-0.747
PCNP	-0.56975
MGC39715	0.202
LQK1	-1.00525
CREB1	0.2684
TMPRSS3	2.031
C4orf32	-0.548375
LAT	-3.64963636363636
KCNA3	2.13
SKIV2L2	-0.60525
ROPN1B	-0.54525
tcag7.23	-0.5705
CDT1	-2.711625
ZHX2	0.268125
CD28	-5.15833333333333
ZNF624	0.96225
SEPT2	0.446666666666667
SOHLH2	-0.299375
MCOLN3	-0.348
UNQ1945	0.8165
MASP2	-1.402
ZNRF3	-0.3964
GPATCH3	-0.58925
AGL	0.991
QRICH2	0.015
PSD4	-0.4145
CCNB1IP1	-1.30125
ENPP7	0.31525
OBFC1	-0.4775
KCNG3	-0.3155
C14orf79	0.0146666666666667
ENPEP	-0.56825
SCT	-0.485
SKI	0.482875
SEC61G	0.918
CAPN11	1.566
ATXN7L3	-0.85925
DBNDD1	-0.680166666666667
FAIM	0.4775
ANKRD36	-1.1745
GABRP	0.3236
TACSTD2	2.2355
EIF3J	-0.34375
PPP2R2A	-0.8955
TEKT4	-1.6195
PVALB	-3.6658
F10	-4.03283333333333
FAM134C	0.9028
COMP	0.588625
EFCBP1	-2.26923076923077
SCLT1	0.879
TAL1	-1.7452
ACSL1	0.205
ABCC5	-0.445666666666667
ABL1	0.114666666666667
RBBP7	1.2915
PTPRG	0.31975
NCOR1	-0.1794
SPINK4	1.397
TXNRD1	-0.9847
TNRC15	0.857625
C9orf138	-0.079
UBE2H	1.633
BRDT	0.1032
C8orf31	0.21025
CCNE2	-0.693181818181818
SLC6A8	-1.28825
CALCR	-2.913
PPP1CB	1.27158333333333
ABHD8	0.249666666666667
ARF5	0.2068
SLC24A4	0.91
CCT3	0.5035
ZNF121	0.220125
SLC3A2	-1.7916
OR13A1	0.365
SLC5A10	-0.912
RAD50	-0.676
IER5	0.528
MTHFD1L	-2.135875
MBTPS2	0.995
MVK	-0.141875
NCL	-0.0347
PSMD10	-0.25275
MOBP	0.060125
FLJ32894	0.179
HRH1	-0.5165
C5orf30	-2.23925
NUDT16L1	0.9929
RASGRP3	1.01366666666667
PRKRIP1	-0.9314
CCDC75	1.3365
LOC253970	0.257666666666667
KIAA1239	0.651
MED21	-0.332
SYT11	-0.540454545454546
NTSR2	-0.494
EGFL11	-0.384
CXorf59	3.084
OR2A25	0.126333333333333
SPTBN2	-0.5825
LRMP	-2.1122
RNF111	0.09075
PTH	-1.8855
LOC619208	1.26816666666667
KIAA0895	0.68375
RANBP5	0.06425
P2RY10	0.2756
NME5	2.6328
DDX21	-1.009
LRSAM1	-0.9015
HDAC11	0.6655
VMO1	1.477
NOLA2	-0.421333333333333
ADAR	0.610416666666667
MTO1	-0.831833333333333
SF4	0.793833333333333
P2RX1	-0.310833333333333
HBM	0.8245
EN2	1.3185
C14orf172	0.241
TM9SF2	1.0502
INHBE	0.229
TCTE3	0.211090909090909
TOX2	-4.16025
CTAGE3	0.95275
HBB	6.19222222222222
MED15	-1.17316666666667
CASR	-0.46275
C6orf66	-0.584833333333333
MTPN	0.3175
UNC50	0.085
C21orf33	0.227125
IRF2	0.65475
PGR	2.78733333333333
GPR84	0.76825
CROCCL1	-3.27175
SRPX	-5.69866666666667
BRE	-0.282
FGF10	0.43825
SDC3	-0.574166666666667
ZRSR1	0.421
DKFZP434P211	-0.726
SOX6	-0.569
RPUSD2	-0.128
C14orf173	-0.313583333333333
MAPK11	-1.31216666666667
TBC1D22A	0.905
FAM123A	-0.0875
COL4A6	-2.65933333333333
TOMM70A	0.243
NAB1	0.193
MGC16385	-1.114875
TSPAN18	-1.384
MED31	0.27475
PLG	0.1315
CAPSL	4.102
ZNF532	0.1748
ASB14	-0.1785
CA8	3.85675
NUDT16P	-0.2572
SLFN11	-0.2245
LRRIQ2	-0.013
NOL7	-0.297
BRMS1L	-0.9585
JARID1A	0.3975
PANK2	-0.417
ICAM3	0.3115
MDS1	1.6395
TAF8	-0.17575
RNF139	0.4715
ZNF594	-0.6124
ADAM8	0.021375
SFTPC	-0.244375
MAN2B2	1.178375
RGS12	-0.29975
EIF1AY	-2.3959
LRRIQ1	0.677
GPR150	1.488
CCDC21	-1.51766666666667
PRRG3	0.423
SAA4	1.4555
RAPGEF5	1.192
ZCCHC2	0.0498181818181818
MGC39372	-1.0325
PPP4R2	1.05666666666667
CDCA2	-0.764166666666667
OR4D5	0.460666666666667
PTGFRN	1.22822222222222
SIGLEC5	-0.29
C19orf61	0.266833333333333
NMUR2	-1.413
KIAA1586	-0.356
DAGLA	-0.332
CHCHD6	0.669
GPR32	0.4865
NEUROD6	0.547
SLC2A4RG	-0.6660625
CA5B	0.0105
FBXL3	0.2675
MPHOSPH9	-0.90225
HMG2L1	0.62675
HCN4	1.3785
CEACAM19	-1.086
SH2D4B	0.19175
HFE2	1.257
TGM4	0.9568
LYPD2	-0.0736666666666667
TBC1D15	-0.0595
MRPS21	-0.9322
NONO	-0.5564
CLEC5A	0.941857142857143
ITCH	0.562
MGAT3	-2.0038
MBP	0.674857142857143
RPP25	1.04925
SOSTDC1	-1.59125
HRC	-2.089
TRIM48	-0.345
TMEM133	-0.30175
ECEL1P2	-1.13275
HOXC11	1.8605
DOK5	-2.08033333333333
HELZ	0.489333333333333
LOC348180	-0.325
MGC33894	-0.43875
ADRB3	-0.018
DMD	0.171636363636364
PTRH2	-0.29825
MPEG1	0.5815
NDUFA12	0.392666666666667
KRTAP2-4	-0.199454545454545
STAMBPL1	-1.2455
ADCY2	-1.6115
UNQ6125	1.1755
KLHL20	1.41666666666667
SRM	-1.333
OTC	-0.06475
TMIE	0.270666666666667
SNX8	-0.2645
LIPK	0.461
CHURC1	0.589916666666667
KLC2	-0.2585
HDAC1	8.0953762212251e-18
FAM128A	-0.0801666666666666
FNDC3B	0.6906
MTCP1	-0.823166666666667
WFDC10B	0.1047
PCDHGB3	2.095
ATRNL1	-0.6303
CAV2	-1.3545
MED26	-0.0525
DUS1L	0.99225
CHRM3	-0.78675
NEK9	0.09725
WARS2	1.13675
TBX22	0.6985
TOMM40	-0.8565
RP6-213H19.1	-1.10316666666667
TUBGCP5	0.573
IGSF6	2.6055
TPPP	0.346333333333333
UNQ6190	-0.569
GSTM5	0.573625
BTD	0.501666666666667
PDCD1LG2	-0.2464
SNRPB2	-0.3155
ERICH1	-0.279125
APOA4	-1.353875
HOXA11	1.267
NARG1	0.21125
MKX	-0.00900000000000001
RAB28	0.0505
PKP3	0.95375
SH3GL2	0.32625
CTSO	1.4745
RPN2	1.159
IL28RA	-0.4054
SFMBT1	-0.52825
WDR57	0.21575
FER1L3	-0.883916666666667
HSF5	0.362666666666667
TTC9B	0.48175
C4BPA	3.24866666666667
ALB	-4.068
SORBS3	-2.099
UPF2	0.376
JPH1	-0.1195
AGBL2	-0.396333333333333
DOPEY1	1.7165
TERF1	-0.185083333333333
KIF22	-1.50616666666667
NINJ1	-0.90125
SEC61A2	-0.582454545454545
HIST1H1D	-0.0926666666666667
SFXN4	0.984625
UCP3	0.118222222222222
ZNF703	-0.116833333333333
MYL6B	-0.208
TREM1	0.921666666666667
OR52E6	0.5725
CKMT2	2.73675
HLA-C	1.060375
SLC13A3	-0.123833333333333
TIMP4	-2.93425
SLIT2	0.06675
RSF1	-0.0585555555555556
LONRF1	-0.643384615384615
MON1A	-0.222
CACNG6	-0.5135
DPPA4	-5.6596
ZSWIM3	0.724
ZNF804A	1.1942
CCIN	0.069
SLC25A31	0.26625
KCNMB4	-3.119
RABL5	0.1955
GALNS	-1.1508
STX6	1.9565
HIST1H1C	-1.15866666666667
CIDEB	-0.720875
CASP4	-0.299
PDK3	0.6526
KCNJ11	1.126
TPR	0.2325
ZSCAN20	-0.875
MTX2	-0.1745
HIST1H2BH	1.332
LOC283767	-0.87125
LYRM7	-0.838823529411765
BRD3	-0.116666666666667
HIST1H2BO	0.568
MAGEB10	0.114
SLC45A1	0.00849999999999998
SERPINA3	3.0287
KIAA0143	0.4745
KCNJ16	0.487333333333333
KRT79	0.15775
FABP2	-0.779333333333333
NUT	1.84733333333333
ZNF57	0.501
FBXL4	-0.080875
CLEC9A	-1.0165
UGT8	3.29
BMP2K	-1.06775
MAPK4	-3.246
SLC25A23	-0.5989
HINT1	0.0219
KRTAP13-1	0.279
SFXN5	-0.8713
CHCHD2	0.2955
FAM3D	5.0555
NDP	-0.7565
RHOBTB1	-0.3005
SLC4A4	-0.606571428571429
RPL38	-0.1365
HTF9C	-0.310166666666667
AP2A2	0.58825
ZBTB46	0.243
MAP7D1	-1.312125
AOX1	-2.16066666666667
CYR61	0.414583333333333
DTNA	-0.50625
JRKL	1.328
TMOD3	-0.13625
EEA1	-0.0945
ADCK5	-0.682
IL1R1	1.878
KLK3	0.446923076923077
HRSP12	-0.1255
KTN1	-0.2615
LOH11CR2A	0.3493
RELL2	-1.67125
MAB21L1	-0.2775
C20orf59	0.3204
PHKB	0.16275
ADAM2	-0.913
TBC1D8B	1.3415
FAM13A1	0.2598125
LAPTM4B	-0.01075
LCN8	0.179
TMEM147	0.9155
SYT4	0.9874
XPO7	-0.424
C9orf62	1.6565
GPR75	0.56
TRIM5	0.836625
APOC1	-2.845
RNASE4	0.948333333333333
PARD6B	-2.138625
ARID1A	0.137333333333333
TPD52L3	0.234777777777778
RRAGB	0.455666666666667
RCN2	0.0315
HIST2H2BE	1.6198125
STARD7	-0.14375
SHMT2	0.1035
KIAA1751	-0.2945
MLYCD	0.933125
LOC162632	-1.42777777777778
UQCRH	0.1675
RP11-217H1.1	1.0396875
SDHA	-1.28183333333333
NCLN	0.2619
ZNF17	0.7004
RCBTB2	-2.29525
VEGFB	-0.854
RP4-747L4.3	0.9285
COLQ	0.1444
MPN2	-0.113
DRG2	-0.54475
KLRB1	1.1345
ALPK2	-3.28766666666667
DNASE2B	-0.0763333333333333
FLJ23834	0.447333333333333
AXUD1	1.06016666666667
SAFB	-0.1833
NSUN4	0.5235
RFX2	0.600333333333333
MAPK8IP1	-0.0792
FANCD2	-0.588642857142857
ANKZF1	-0.4775
C19orf50	-0.807625
DUSP8	0.971375
SENP5	-0.34025
NFKBIL2	-0.70025
LBR	0.054875
IGFL1	-0.1015
LZTS2	-0.49875
IL2RG	-1.58075
CCDC51	0.03675
KLF3	0.24925
ANKRD37	0.22525
KCTD14	1.9875
FZR1	0.0359166666666667
SLC44A4	2.6654
ESPL1	-1.325375
GMPR2	-0.9107
TBC1D19	-0.567833333333333
ERGIC1	1.31466666666667
ERBB4	1.2129
TSPAN32	1.1203
MAP4	-0.4495
GPHN	0.12475
SLC6A2	2.668125
HIVEP1	0.3555
DFFB	0.8249
EIF4EBP2	0.507375
DMRT1	-0.026
HSPB6	-0.83175
IER2	0.8845
AIFM1	0.5675
WWC2	-0.496545454545455
MRPL4	-0.446
FLJ21062	0.0616666666666666
EPB41L4A	0.9315
SH2D6	-0.26825
TAF4B	-0.516
GAL3ST3	2.246
MALT1	-1.13233333333333
RTDR1	1.292
ARVCF	-1.08342857142857
MEX3B	-1.5234
FBXO16	2.60275
KIF7	-1.298
C1QC	2.50716666666667
ZNF783	-0.0171666666666667
ZNF85	-0.35525
MMP13	1.571
KIAA0329	-0.03925
RTP3	0.7545
ZBED3	0.15925
CLGN	0.4735
SLC25A37	-0.963416666666667
hCG_18290	-0.04975
OR5AS1	1.475
SMARCC2	-0.0329166666666667
FAM109A	-0.000166666666666676
CCDC12	-0.81675
USF2	0.0333333333333334
DEPDC7	-0.7105
C20orf24	-0.8735
JMJD3	1.78
DSP	-0.0915
SLIC1	0.119625
FAM20A	0.309125
IRF2BP2	1.531125
ZNF230	-0.193
MSN	-1.17757142857143
SLC9A5	-2.1085
EPDR1	-0.9847
