Hybridization REF	TCGA-AP-A05J-01A-11R-A00V-07
EXOSC7	0.0783333333333333
ROR2	2.110125
MAOA	1.794875
TNNT3	3.1005
GYPC	-2.89175
C7orf33	0.867
PLIN	-0.0501666666666667
LOC90826	0.198
RNF4	0.0918
F8A1	1.4655
PLEKHG4	-1.5955
GRB2	0.4566
HIST1H2AD	-0.29075
DUS3L	-0.0935
EIF1	-0.725166666666667
RP5-1077B9.4	-0.669166666666666
FPGT	-0.53225
GDF10	0.0143333333333333
COQ9	0.56125
GCC2	-0.125142857142857
RARRES3	1.314
PLXNA1	1.1454
KIAA0100	0.1725
PMF1	0.5225
FNDC1	3.523
HS2ST1	-0.0563333333333333
CRELD2	0.212
C8G	-0.347
CD82	1.8445
LIM2	-1.0695
UNQ6490	-0.351
MMP16	-0.2245
DRD3	0.262
C5orf26	0.04475
C11orf73	-0.78825
PTP4A2	0.51775
OR4M2	0.8385
HPCA	-0.686
SEC14L1	-0.0418333333333333
CHFR	0.429
EMILIN1	-0.64
NDUFS4	-0.5575
COL18A1	2.727
PDZD3	0.2457
C9orf16	1.22066666666667
ERBB2IP	-0.136833333333333
EMX2	8.1825
FUS	0.131
TF	-4.6223
CLCN4	1.1315
CXorf56	0.039
C11orf72	0.42325
ELAC2	-0.476583333333333
NPR1	0.14
ASS1	-0.433333333333333
USP42	0.077125
POLR2J	0.305
SEC23IP	0.108166666666667
UQCRC1	0.987
LOC729603	-0.35125
C1orf71	-1.365125
POLG	-1.1475
ADAM23	-4.3055
TFR2	-0.84225
RICTOR	-1.1331
MGC39606	2.32725
C19orf55	0.090125
SNAPC1	-1.0265
GNA11	0.033125
CCDC52	-0.2935
FSIP1	-1.491
UPF3A	-0.122125
IGSF11	-1.09
LAGE3	0.612
CHST6	0.084
UNC13B	-0.090875
TTLL4	0.1685
ZNF687	0.007625
SDC2	0.0083
COX7A2	-0.796
LAMB4	0.91575
FAM24A	1.3655
LRRTM3	-1.09183333333333
GPHB5	0.7085
OR4C13	-0.873
EIF3EIP	0.0196428571428572
HABP4	-0.036
TMEM125	4.09075
CNTN2	0.2785
ASNSD1	-0.55425
FUT4	-0.337875
ACF	-3.16175
LOC158381	-0.111
CDH8	0.267
AGPS	-1.56933333333333
C4orf18	-1.72825
PECI	-1.10891666666667
UNG	0.422625
GSTP1	2.7905
DCUN1D5	-1.592
DKFZP564J0863	-0.51075
SLC9A3R1	0.034875
BCDO2	-0.253375
CHMP7	-0.622125
REM2	2.1155
DNHD1	0.065
FKBP4	-0.475625
ZNF350	1.45625
MGC11102	0.7215
BST1	-1.957
KISS1R	0.9725
NCR2	-0.1405
DEFB125	0.877
UBE2W	-0.612875
KRT15	-1.226625
C10orf99	0.651
SCN11A	0.412
GFI1	-3.272
RDHE2	1.325
FHL1	-2.9775
OSGEP	-0.076
GATA1	-3.80866666666667
SMC6	-0.52075
TTTY14	-1.54425
LPIN3	0.4435
RPL4	0.1436
RBPMS	-0.7554
PRPF3	-0.320833333333333
EMR1	-3.245
SPATA19	-0.91225
XCR1	0.281
IRX3	1.8712
RBM6	0.3945
KLF4	-1.4197
UNC5CL	-2.1655
SEBOX	0.5095
BTK	-2.837
KRCC1	0.671
C6orf27	0.5355
SYTL5	-0.5845
PRND	1.126875
LOC653319	-0.8605
PIGL	-2.054
HUS1	-0.339166666666667
SFRS6	0.425416666666667
C17orf77	1.447
UIMC1	-0.269333333333333
FXYD2	-1.7698
LOC283152	2.0385
ZNF667	1.119
ZCCHC12	0.45475
TFEC	0.4944
ATP7B	1.65416666666667
POLD2	-0.678666666666667
RG9MTD1	0.253
ACOT2	-1.5535
HIST1H4I	-0.6915
PPARGC1A	2.7337
ETFA	-2.0941
POLRMT	-0.16125
ZNF146	0.177625
MIA2	-1.777
KLHL6	-3.55916666666667
HOXB5	3.5295
NENF	-0.310166666666667
CUGBP1	0.4005
PRSS22	2.6995
CASC4	1.3874
CUL4B	-0.6131
CENPJ	0.0604
PITX1	0.262
FLJ31033	-0.0608
CELSR3	-0.598
ZNF568	0.4955
ITSN1	0.452583333333333
EHBP1L1	-1.26883333333333
C19orf2	0.1085
DCTN1	1.0645
LIN28B	-1.774
TNKS2	1.104
C1QBP	-1.494125
CADPS2	0.4725
SRMS	0.561333333333333
GJA9	0.6205
MGC24975	0.420833333333333
TRIM45	1.725
TSP50	2.781
TCP1	-2.6475
TMED7	-0.3026
CMA1	-1.313
CENPL	-0.459166666666667
PTCRA	-0.221
FST	-5.44975
VWCE	-1.6845
PAWR	0.62275
ABCC12	0.408
LDLR	-1.7936
ASTN2	-0.7229
LOC441212	0.320625
GPATCH8	-0.02175
TANC2	-0.70525
KIF4A	0.57625
C18orf18	-3.103
PGM1	-1.305
KIAA0258	1.49725
CPD	-0.233875
SNCAIP	-0.2615
DCT	-5.15
HLA-DOA	1.79681818181818
OR11L1	0.777
UPK1B	3.74416666666667
DNAJB4	-2.44675
UGT1A8	-0.25975
HIST1H4L	-0.6985
PECR	-0.214833333333333
HSPA2	3.28625
WFIKKN1	-1.05
SERP1	-1.068375
SYDE2	0.79675
TACR2	0.901
NUP85	-0.3335
CD177	0.455
LGR5	5.092
PIGG	0.129166666666667
PTHR1	-1.19316666666667
RAB5A	-0.5617
FLJ13224	0.91
USP9Y	-1.661
C7orf53	-0.4665
LRP1B	-0.70275
XAF1	2.3019
ABCG8	0.8045
ANKDD1A	0.550666666666667
DAND5	-1.413
SPAG6	0.2525
LINCR	-0.342
ZDHHC22	-0.861625
CCDC60	0.255
THOC7	-1.303
TCTA	0.0648
OR8K3	0.83075
NY-REN-7	-0.7235
B2M	-0.501833333333333
C6orf141	-2.998375
LPPR4	1.951
SQLE	-1.203625
SEPHS1	0.3735
BTBD14B	1.25471428571429
PLRG1	0.17625
SPG7	-0.9505
ZNF614	-0.012
PARD6G	1.60816666666667
INPP5B	0.2477
GRPEL2	-0.1325
PPID	-0.3817
TRIM56	-0.5305
UBE2J1	-1.253375
IL20RA	-0.4575
LOC387856	0.2835
C1orf107	-0.4875
UTS2R	1.0955
C19orf22	-0.056
SAFB2	1.0205
KIAA0652	0.10025
KLRG1	-1.10483333333333
MS4A8B	0.197
FRAG1	1.3715
KIAA1546	-0.0885
E2F4	-0.8987
CLEC4M	-0.265166666666667
BTBD14A	-0.1205
KIAA0999	1.3223
GYPA	-3.838
TAC1	0.1632
TRAIP	0.555166666666667
KIAA0232	0.7569
ERCC8	-1.630125
GPX4	-0.441125
KIAA0368	-0.784625
GPR157	-1.07216666666667
CTAGE4	1.4635
C9orf30	-0.644
OR52A1	0.15
HSP90B3P	0.8555
ALG9	-0.2837
BTBD10	0.483
SDK2	1.7215
BAIAP3	-0.2665
RABGGTB	-0.93425
ANKRD40	-0.107
KRT74	1.2995
CALCOCO2	-1.26364285714286
SNCA	-2.3275
TMSL8	-0.250625
C2orf53	0.307
ESRRB	-0.60925
ARHGAP26	0.955375
TDRD9	-1.14925
HRAS	1.74533333333333
KLRC4	-1.578
JAGN1	-0.0561666666666667
BSDC1	0.429
RNF43	-0.2607
NDUFAF1	0.09425
PHF12	0.441
OR1L3	0.614
FOLR2	1.62916666666667
LYZL6	-0.1285
tcag7.1260	0.234
WSB1	-1.58716666666667
PROS1	-2.2275
OSTN	0.5995
PSMB8	-0.03525
SOCS4	-1.08557142857143
DDIT4L	2.72625
MAS1	-0.063
MGC34796	0.193
CSHL1	0.358
TBCCD1	0.394166666666667
ZBTB7C	1.0185
AP2S1	-0.198875
P15RS	-0.3391
VAT1	-1.2135
SHANK3	0.7125
TUFM	0.057
THEG	0.46825
KRT34	-2.83225
SGSM3	-0.142625
TOMM22	-0.5555
SOCS3	1.5325
CPO	0.261
POP4	-0.3735
BHLHB3	-1.76875
MALL	0.68325
OR1B1	1.5465
PARK2	0.499666666666667
GPR124	-0.215
LCE1E	-1.057
RUVBL2	-0.10125
CGRRF1	-0.0417
ACPL2	0.98875
WNT10B	-0.656875
BAIAP2L2	-1.48775
ISCA1	-0.0045
C1orf125	0.00787500000000002
RPAP1	-0.63
RAI16	-0.141166666666667
RPL27	-1.673375
NLRP9	0.77
EPN1	0.853
LOC388610	0.134625
SLC35A1	-1.048
GAL	-3.8895
SLC14A2	0.35225
RDH11	-0.465166666666667
FAM138F	-0.0925
AUH	0.58725
FLJ40243	0.102666666666667
C14orf129	-1.11533333333333
MBD2	-0.127666666666667
ABHD14B	0.207375
PIGT	0.481125
ALS2CR4	-0.498
ALAS1	1.5882
FOXO1	1.40716666666667
CRLF3	-1.2175
C20orf107	-0.4415
FARS2	-0.3905
CCDC28A	-1.186
NPHP3	-1.44775
OR13F1	1.407
TSEN54	0.944
DEFB106B	-0.086375
OR8B4	0.562
STH	-0.747
ZC3H14	-0.630625
CBX2	1.427
TMEM49	-2.41575
C6orf21	0.8345
FLJ20920	2.116375
CRTAP	-0.311857142857143
DDX50	-0.098
STYXL1	0.173
BLVRB	-1.3825
LOC147650	1.268
MMP24	0.01975
GRID1	1.6958
BANF1	0.645666666666667
CTAGEP	0.0659999999999999
HMBS	-1.75275
SLC25A24	-1.01
C14orf50	0.9315
MRO	-0.576
SLC25A15	0.3805
FAM84B	0.8216
TDP1	-0.737
C16orf78	-0.359333333333333
C11orf57	1.30225
RFK	-0.512125
ZFYVE9	0.79225
STCH	-1.9464
WIBG	1.13175
LOC283871	-0.4975
GBA2	0.2071
NDUFB3	-0.293
HSD17B13	-0.74
GRIN3A	0.836833333333333
FMNL1	-1.25216666666667
SEPT7	-0.5218
GNLY	3.0995
GRAMD1C	0.393166666666667
ZNF165	0.6325
USP38	0.26225
FAM83A	-3.512
C14orf24	0.0599166666666667
ARMCX3	-0.52925
ARHGDIB	-2.57316666666667
AK1	1.421375
KIAA1045	-0.178
DNAJB13	0.4265
NEU2	1.9125
HIST1H4B	-0.815833333333333
FAM20B	-0.3253
HES2	1.2035
FAM73B	0.2762
LOC388381	0.668
INTS7	-0.456181818181818
AMPH	1.431
ZNF775	0.33
UCKL1	-0.514666666666667
C10orf97	-1.3425
C1orf161	0.452
ALDH1L1	0.0025
FLJ39378	0.5005
SLC23A1	-2.068
RBM4B	0.9955
THAP4	1.2025
OGFRL1	-2.407
KIAA0831	0.511375
PPP1R15A	0.8755
C1orf96	0.516071428571429
C12orf11	-1.30525
BMF	3.72125
MAN1A1	-3.281875
KIAA1600	0.181833333333333
NLGN4X	6.07525
ALOX12	-0.745666666666667
RB1CC1	-0.2004
NEIL2	-0.5414
EIF4E	-0.351136363636364
ABHD5	-0.87725
EXOC4	0.094
CIP29	0.6605
BATF2	0.12125
SLC29A4	-0.105375
HTR4	0.455
EMB	-4.5535
TRAF6	0.5015
LMNB1	-0.08575
FAM19A5	2.6475
SHE	0.604
PIK3C2B	0.24875
C15orf15	-0.7893
USP15	-1.1068
TCEAL2	3.6975
C5orf39	-2.01833333333333
PTGER2	-2.28275
SLC31A1	-0.404375
IFT172	0.99475
ADAM29	0.109
GFOD1	-0.015
ST7L	0.228166666666667
C15orf26	-2.75166666666667
PKN3	-0.23025
CNTD1	0.205
COMMD1	0.832125
NTRK2	1.30525
FOXN3	-1.006125
MFGE8	1.209
PFKFB2	1.35666666666667
TAS2R4	-0.0936666666666667
ENTHD1	0.332
PRMT5	-1.129625
MGC16384	-1.56325
LOC442229	-1.08775
TSKU	0.4705
KRTCAP3	2.17975
PDLIM1	1.3645
KCNS2	0.156666666666667
RNF126	-1.0615
CEP63	0.11775
CLIC4	-2.043125
hCG_1990170	2.5045
ACR	0.3873
KLK7	3.73375
ALOX5AP	-2.10125
RIPK3	3.767
TAS2R9	0.3485
C19orf18	-0.737
BIRC6	-0.118428571428571
ZNF16	1.9375
RFT1	-0.1115
SLC8A2	-0.2675
TACC1	-1.315
ITGAD	-0.038
SAMHD1	0.97075
SH3PXD2B	0.7508
EPC2	2.03825
C20orf85	3.99775
ATP13A2	0.0803333333333333
KRT4	3.831625
CAPNS1	0.18075
MDM2	-0.642416666666667
PCDH20	3.355
KCNK9	0.45
OR2C1	0.196
KLHDC3	-0.182
IPPK	-0.165
EFHD2	-0.7405
GALR3	0.90975
NBEA	-1.991
ABCA6	-0.307
CLDN3	3.52933333333333
AKT2	-0.170714285714286
EGFR	-1.0703
RBM16	0.413
ZDHHC3	0.9314
SLC25A4	0.371
CYB5B	-1.23083333333333
CPXM1	0.076
NDRG1	-0.693076923076923
FLJ43826	0.05825
OR5L2	0.7826
FARP2	-0.0255
MRPL46	-0.561916666666667
LDHAL6B	0.657666666666667
MAPKAPK3	1.22566666666667
NCAM2	-4.208
PRKD2	0.256333333333333
ZFP36L1	2.0024
CYSLTR1	-2.64375
OR4C3	2.582
HIST1H2AJ	-0.381
CCNB2	-0.478111111111111
ZNF10	0.561125
TMEM175	0.4855
FAM134A	1.69566666666667
TIGD4	0.399
PCNP	-0.9415
MGC39715	0.0682499999999999
LQK1	-2.157
CREB1	-0.0118
TMPRSS3	2.20925
C4orf32	-2.893125
LAT	-2.61183333333333
KCNA3	0.03
SKIV2L2	-1.26975
ROPN1B	-2.83225
tcag7.23	-0.277
CDT1	-2.612125
ZHX2	1.058375
CD28	-5.37975
ZNF624	0.39925
SEPT2	0.51925
SOHLH2	-0.977875
MCOLN3	0.077
UNQ1945	0.965
MASP2	-1.361
ZNRF3	2.0919
GPATCH3	-0.444
AGL	0.2195
QRICH2	-0.071
PSD4	1.42216666666667
CCNB1IP1	0.3335
ENPP7	0.05775
OBFC1	-0.1485
KCNG3	-0.94625
C14orf79	-0.02475
ENPEP	-0.4476
SCT	0.7875
SKI	1.34725
SEC61G	-1.17275
CAPN11	-0.159
ATXN7L3	0.3415
DBNDD1	0.6275
FAIM	0.09425
ANKRD36	-1.593
GABRP	1.11416666666667
TACSTD2	1.94933333333333
EIF3J	-0.84675
PPP2R2A	-2.24925
TEKT4	0.379666666666667
PVALB	-4.15783333333333
F10	-2.26066666666667
FAM134C	0.396
COMP	5.59875
EFCBP1	-3.225
SCLT1	2.53825
TAL1	-1.4328
ACSL1	0.21475
ABCC5	-0.97575
ABL1	-0.0998235294117647
RBBP7	0.9185
PTPRG	1.217
NCOR1	-0.2788
SPINK4	-2.82683333333333
TXNRD1	-2.0465
TNRC15	1.538125
C9orf138	0.292625
UBE2H	2.2615
BRDT	0.507166666666667
C8orf31	-0.14025
CCNE2	-1.91072727272727
SLC6A8	-0.199
CALCR	-5.36975
PPP1CB	-0.173333333333333
ABHD8	0.97625
ARF5	0.8592
SLC24A4	1.5085
CCT3	-0.314
ZNF121	-0.0465
SLC3A2	-1.1646
OR13A1	0.6185
SLC5A10	-0.1275
RAD50	-1.148125
IER5	-0.7485
MTHFD1L	-1.811875
MBTPS2	-0.25275
MVK	-0.234125
NCL	1.0148
PSMD10	-1.9815
MOBP	1.49533333333333
FLJ32894	0.762
HRH1	1.335
C5orf30	0.54875
NUDT16L1	0.8145
RASGRP3	1.99866666666667
PRKRIP1	0.2481
CCDC75	0.411
LOC253970	-0.12975
KIAA1239	0.0685
MED21	-0.26275
SYT11	2.97841666666667
NTSR2	-0.5815
EGFL11	-1.7665
CXorf59	-0.087
OR2A25	0.782
SPTBN2	2.035
LRMP	-2.80533333333333
RNF111	-0.95825
PTH	-0.851
LOC619208	0.0425
KIAA0895	0.3635
RANBP5	-0.7715
P2RY10	-1.43416666666667
NME5	2.9255
DDX21	-1.1715
LRSAM1	0.2365
HDAC11	3.04716666666667
VMO1	2.7
NOLA2	-0.185
ADAR	0.493583333333333
MTO1	-2.40566666666667
SF4	1.59616666666667
P2RX1	0.831166666666667
HBM	-0.17975
EN2	0.944
C14orf172	-0.39075
TM9SF2	-0.8605
INHBE	-0.708333333333333
TCTE3	0.0981666666666667
TOX2	-3.05225
CTAGE3	0.2715
HBB	2.5278
MED15	-0.5945
CASR	-0.41025
C6orf66	-0.789166666666667
MTPN	-0.20375
UNC50	-0.963
C21orf33	0.692375
IRF2	1.239875
PGR	1.23983333333333
GPR84	1.01425
CROCCL1	-2.40225
SRPX	-1.2885
BRE	0.301166666666667
FGF10	-0.557
SDC3	0.764166666666667
ZRSR1	0.838833333333333
DKFZP434P211	-0.479375
SOX6	0.8425
RPUSD2	0.61975
C14orf173	-0.9105
MAPK11	-1.02
TBC1D22A	0.208
FAM123A	-0.9675
COL4A6	-3.42583333333333
TOMM70A	-0.72275
NAB1	0.625125
MGC16385	-1.271875
TSPAN18	-0.250333333333333
MED31	-1.47475
PLG	-0.605666666666667
CAPSL	3.0665
ZNF532	2.4046
ASB14	0.1675
CA8	0.6205
NUDT16P	-0.0461666666666667
SLFN11	-2.664
LRRIQ2	-0.093125
NOL7	-0.305666666666667
BRMS1L	-0.799875
JARID1A	0.1155
PANK2	-0.13275
ICAM3	-1.7065
MDS1	2.51475
TAF8	0.79675
RNF139	-0.28425
ZNF594	0.0733333333333333
ADAM8	0.463125
SFTPC	0.00949999999999999
MAN2B2	0.818625
RGS12	0.8649375
EIF1AY	-5.23933333333333
LRRIQ1	1.365
GPR150	1.06425
CCDC21	-2.17683333333333
PRRG3	2.356
SAA4	-5.028
RAPGEF5	0.215375
ZCCHC2	1.57075
MGC39372	-0.333
PPP4R2	1.11166666666667
CDCA2	-0.710833333333333
OR4D5	0.604333333333333
PTGFRN	2.7122
SIGLEC5	1.13866666666667
C19orf61	-0.275333333333333
NMUR2	0.445
KIAA1586	-1.05
DAGLA	0.189166666666667
CHCHD6	0.36125
GPR32	-0.067
NEUROD6	1.0946
SLC2A4RG	0.8808125
CA5B	0.80425
FBXL3	-0.3835
MPHOSPH9	-0.82425
HMG2L1	-0.08725
HCN4	1.418
CEACAM19	0.61025
SH2D4B	1.3415
HFE2	-0.3055
TGM4	0.663
LYPD2	1.9595
TBC1D15	-1.12325
MRPS21	-0.0611
NONO	0.00800000000000003
CLEC5A	1.451
ITCH	0.3264
MGAT3	2.04333333333333
MBP	0.3395
RPP25	0.2055
SOSTDC1	2.07675
HRC	-0.96075
TRIM48	0.3755
TMEM133	-0.8605
ECEL1P2	0.21075
HOXC11	-0.034
DOK5	2.0535
HELZ	-0.543333333333333
LOC348180	-0.83625
MGC33894	0.66725
ADRB3	0.1535
DMD	0.146666666666667
PTRH2	-0.17125
MPEG1	1.36916666666667
NDUFA12	1.63933333333333
KRTAP2-4	0.0831666666666667
STAMBPL1	-2.89266666666667
ADCY2	-1.2685
UNQ6125	0.147
KLHL20	0.249
SRM	-1.674
OTC	1.065
TMIE	2.59016666666667
SNX8	1.38175
LIPK	-0.599
CHURC1	0.293
KLC2	0.285833333333333
HDAC1	0.239333333333333
FAM128A	-0.133833333333333
FNDC3B	0.9544
MTCP1	0.651666666666667
WFDC10B	0.3058
PCDHGB3	1.3685
ATRNL1	1.7408
CAV2	-2.693125
MED26	0.630833333333333
DUS1L	0.954
CHRM3	-0.519375
NEK9	-0.07725
WARS2	0.874
TBX22	-0.6505
TOMM40	0.1195
RP6-213H19.1	-2.86383333333333
TUBGCP5	-0.83025
IGSF6	2.86725
TPPP	0.279166666666667
UNQ6190	0.431
GSTM5	0.47425
BTD	-1.10483333333333
PDCD1LG2	-0.406
SNRPB2	0.0651666666666667
ERICH1	-0.967625
APOA4	-1.46525
HOXA11	-0.313
NARG1	-0.848875
MKX	0.97375
RAB28	-1.41514285714286
PKP3	1.99375
SH3GL2	-0.00750000000000001
CTSO	1.57625
RPN2	0.5383125
IL28RA	0.481666666666667
SFMBT1	0.9855
WDR57	-0.48175
FER1L3	-0.242916666666667
HSF5	0.5472
TTC9B	0.092
C4BPA	-4.11525
ALB	-5.57657142857143
SORBS3	-0.219
UPF2	0.4405
JPH1	-1.122
AGBL2	-2.49525
DOPEY1	1.353
TERF1	0.181083333333333
KIF22	0.500333333333333
NINJ1	0.201
SEC61A2	1.58808333333333
HIST1H1D	1.7255
SFXN4	0.791125
UCP3	0.3415
ZNF703	0.458166666666667
MYL6B	1.89
TREM1	1.182
OR52E6	2.7
CKMT2	4.3275
HLA-C	1.437875
SLC13A3	-2.143
TIMP4	-4.29625
SLIT2	4.63225
RSF1	0.778333333333334
LONRF1	-1.97742857142857
MON1A	-0.347333333333333
CACNG6	3.31566666666667
DPPA4	-6.44183333333333
ZSWIM3	0.23075
ZNF804A	-0.3255
CCIN	0.630333333333333
SLC25A31	0.1055
KCNMB4	0.47225
RABL5	1.11375
GALNS	-0.3903
STX6	1.124625
HIST1H1C	-0.0685
CIDEB	-2.074375
CASP4	-0.630666666666667
PDK3	-0.616
KCNJ11	0.8205
TPR	0.247125
ZSCAN20	-0.5145
MTX2	-0.22575
HIST1H2BH	0.54825
LOC283767	1.48
LYRM7	-1.77411111111111
BRD3	0.237333333333333
HIST1H2BO	0.1415
MAGEB10	-0.513
SLC45A1	0.279333333333333
SERPINA3	-4.41185
KIAA0143	-0.6235
KCNJ16	0.662833333333333
KRT79	0.61675
FABP2	-0.2295
NUT	-0.3135
ZNF57	-0.93275
FBXL4	-1.952875
CLEC9A	-0.0155
UGT8	0.421333333333333
BMP2K	0.01325
MAPK4	-1.6475
SLC25A23	1.636
HINT1	-0.8221
KRTAP13-1	0.4675
SFXN5	0.7647
CHCHD2	-0.728916666666667
FAM3D	2.9145
NDP	-1.8285
RHOBTB1	1.44766666666667
SLC4A4	0.301625
RPL38	0.07125
HTF9C	0.634166666666667
AP2A2	1.056625
ZBTB46	0.11
MAP7D1	1.1845
AOX1	-3.717
CYR61	0.0865
DTNA	-0.239357142857143
JRKL	0.575
TMOD3	-0.31
EEA1	0.0278
ADCK5	0.95125
IL1R1	3.11466666666667
KLK3	1.15485714285714
HRSP12	-1.17575
KTN1	0.42125
LOH11CR2A	-0.1681
RELL2	-1.4185
MAB21L1	0.967333333333333
C20orf59	-0.9815
PHKB	-0.9485
ADAM2	-1.6548
TBC1D8B	-1.2938
FAM13A1	-0.2071875
LAPTM4B	-0.625583333333333
LCN8	0.0655
TMEM147	0.8635
SYT4	1.66016666666667
XPO7	-0.572
C9orf62	1.55875
GPR75	0.6275
TRIM5	1.072375
APOC1	-1.417
RNASE4	-4.3925
PARD6B	-2.709
ARID1A	-0.0180833333333333
TPD52L3	0.859666666666667
RRAGB	0.483166666666667
RCN2	-0.067
HIST2H2BE	0.1165
STARD7	0.056
SHMT2	-0.1675
KIAA1751	1.36466666666667
MLYCD	-0.755625
LOC162632	-0.7016
UQCRH	-0.1245
RP11-217H1.1	0.358625
SDHA	-0.429333333333333
NCLN	-0.0613
ZNF17	0.4055
RCBTB2	-2.116
VEGFB	1.2437
RP4-747L4.3	-0.88125
COLQ	0.5162
MPN2	-0.8028
DRG2	-0.8035
KLRB1	3.03675
ALPK2	-4.693
DNASE2B	-0.2615
FLJ23834	-0.437833333333333
AXUD1	1.26483333333333
SAFB	1.2491
NSUN4	1.1175
RFX2	-0.844833333333333
MAPK8IP1	1.65066666666667
FANCD2	-0.552214285714286
ANKZF1	-0.7475
C19orf50	-0.521
DUSP8	1.36525
SENP5	1.18675
NFKBIL2	-0.6255
LBR	-1.110375
IGFL1	1.3385
LZTS2	2.277125
IL2RG	-1.77725
CCDC51	1.1
KLF3	0.346625
ANKRD37	-2.24975
KCTD14	1.583
FZR1	-0.0168333333333333
SLC44A4	2.0776
ESPL1	0.055125
GMPR2	-1.1442
TBC1D19	-0.0643333333333333
ERGIC1	0.492925925925926
ERBB4	4.8806
TSPAN32	1.74783333333333
MAP4	0.605
GPHN	-0.382
SLC6A2	-0.164625
HIVEP1	0.7785
DFFB	-0.5904
EIF4EBP2	0.683
DMRT1	4.95675
HSPB6	0.22075
IER2	-0.046
AIFM1	1.44675
WWC2	2.58316666666667
MRPL4	-0.97175
FLJ21062	0.311333333333333
EPB41L4A	2.52066666666667
SH2D6	1.113
TAF4B	1.04925
GAL3ST3	0.788
MALT1	-0.408833333333333
RTDR1	2.4675
ARVCF	2.00875
MEX3B	-1.4235
FBXO16	0.416
KIF7	0.15425
C1QC	4.032
ZNF783	0.231666666666667
ZNF85	-0.30075
MMP13	-0.468
KIAA0329	0.377125
RTP3	-1.013
ZBED3	1.86175
CLGN	-0.35675
SLC25A37	-2.33995833333333
hCG_18290	0.482
OR5AS1	1.3105
SMARCC2	0.789166666666667
FAM109A	0.852
CCDC12	1.09525
USF2	1.3438
DEPDC7	-2.90325
C20orf24	-0.7815
JMJD3	0.207
DSP	1.25435714285714
SLIC1	0.870875
FAM20A	3.423
IRF2BP2	-0.326375
ZNF230	-0.3055
MSN	-1.05721428571429
SLC9A5	-2.3415
EPDR1	-2.1588
MUSK	0.549
ZNF434	-0.353833333333333
SMARCD1	0.313166666666667
ZFP106	-0.6485
ZNF347	-0.3092
GTF2E1	-0.304
RY1	-0.413333333333333
